,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
January,40.31225806451613,28.513548387096776,48.57135483870968,36.92012903225807,55.48670967741936,28.185806451612905,62.10709677419355,40.53348387096774,40.623612903225805,39.951741935483874,32.91348387096774,48.997419354838705,29.808129032258066,20.705096774193546,28.030129032258067,41.76251612903226,50.74264516129032,45.75277419354838,22.00787096774194,29.81632258064516,33.42967741935484,39.624,44.884258064516125
February,57.49158620689655,34.18114285714286,63.5,46.64528571428572,70.36675862068965,31.532285714285717,85.39842857142858,47.64314285714286,65.3568275862069,45.411571428571435,45.83792857142857,55.462714285714284,51.67586206896552,27.80392857142857,50.645785714285715,50.01985714285714,66.95089655172414,74.40385714285715,34.480500000000006,55.52621428571429,54.75889655172414,55.53528571428572,48.25092857142857
March,73.9385806451613,38.616193548387095,76.2163870967742,61.992387096774195,79.10051612903226,36.12535483870968,94.58632258064517,61.82032258064516,75.59367741935485,61.25496774193549,53.36458064516129,73.80748387096773,69.94012903225807,34.89632258064516,73.04548387096774,46.129677419354834,77.56012903225806,94.41425806451613,50.41490322580645,88.58864516129033,61.123870967741944,69.53864516129032,52.197
April,65.31186666666666,41.16493333333334,75.7936,68.072,70.45960000000001,45.01726666666667,104.4956,52.87433333333333,85.30166666666668,70.36646666666667,61.849000000000004,91.19446666666666,72.55086666666666,33.02,80.48413333333333,39.53933333333333,63.96566666666667,81.94886666666667,46.007866666666665,83.0834,60.79066666666667,51.01166666666666,
May,18.853354838709677,8.504903225806451,33.92948387096774,43.302903225806446,15.715225806451613,14.010967741935485,50.11174193548388,9.479935483870968,49.88232258064516,36.12535483870968,39.419161290322585,74.93,21.23767741935484,3.269225806451613,40.476129032258065,2.179483870967742,10.831870967741937,23.654774193548388,2.5481935483870966,20.39374193548387,7.792064516129033,3.4494838709677422,
June,0.0,0.0,0.0,0.0,0.0,0.0,0.03386666666666667,0.0,0.5503333333333333,0.0,1.2022666666666666,17.720733333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
July,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
August,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
September,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
October,0.9914193548387097,0.1229032258064516,0.0,0.0,1.229032258064516,0.0,0.0,0.28677419354838707,0.07374193548387097,1.483032258064516,0.5161935483870969,0.04096774193548387,0.9914193548387097,0.0,0.02458064516129033,0.024580645161290323,0.10651612903225807,1.3027741935483872,0.0,0.7783870967741936,0.0,0.0,
November,5.317066666666666,2.726266666666667,6.172199999999999,6.468533333333334,6.383866666666668,12.352866666666667,5.935133333333333,1.0498666666666667,3.4543999999999997,4.055533333333333,6.824133333333333,5.3340000000000005,3.2173333333333334,5.240866666666667,5.579533333333334,4.5973999999999995,0.4741333333333333,5.850466666666667,1.8457333333333334,1.7356666666666667,9.050866666666668,3.445933333333333,
December,18.066774193548387,32.02038709677419,14.945032258064517,26.530709677419356,19.426903225806452,29.01335483870968,23.13858064516129,12.986774193548388,13.59309677419355,14.281354838709678,30.643870967741936,12.478774193548388,11.880645161290323,17.591548387096775,22.96651612903226,28.841290322580647,18.353548387096772,10.512322580645161,14.437032258064516,11.053096774193548,21.082,16.215032258064515,
